ID,Label
10001,0
10002,0
10003,0
10004,0
10005,0
10006,0
10007,1
10008,0
10009,1
10010,0
10011,1
10012,0
10013,0
10014,1
10015,0
10016,1
10017,0
10018,0
10019,0
10020,1
10021,1
10022,0
10023,0
10024,0
10025,0
10026,1
10027,1
10028,0
10029,0
10030,0
10031,0
10032,0
10033,1
10034,0
10035,0
10036,0
10037,1
10038,0
10039,1
10040,0
10041,1
10042,0
10043,0
10044,0
10045,1
10046,0
10047,1
10048,0
10049,1
10050,0
10051,1
10052,0
10053,0
10054,0
10055,0
10056,0
10057,1
10058,1
10059,0
10060,0
10061,0
10062,1
10063,0
10064,0
10065,0
10066,0
10067,0
10068,1
10069,0
10070,0
10071,0
10072,0
10073,0
10074,0
10075,0
10076,1
10077,0
10078,0
10079,0
10080,0
10081,0
10082,1
10083,0
10084,0
10085,1
10086,1
10087,1
10088,0
10089,1
10090,0
10091,0
10092,1
10093,0
10094,0
10095,0
10096,1
10097,0
10098,0
10099,0
10100,0
10101,0
10102,0
10103,1
10104,0
10105,0
10106,1
10107,0
10108,0
10109,0
10110,0
10111,1
10112,0
10113,0
10114,0
10115,0
10116,0
10117,0
10118,1
10119,0
10120,0
10121,0
10122,0
10123,1
10124,0
10125,0
10126,0
10127,0
10128,0
10129,1
10130,0
10131,0
10132,0
10133,0
10134,1
10135,0
10136,0
10137,0
10138,1
10139,0
10140,0
10141,0
10142,0
10143,0
10144,0
10145,0
10146,1
10147,0
10148,0
10149,0
10150,0
10151,0
10152,0
10153,1
10154,0
10155,0
10156,0
10157,0
10158,1
10159,0
10160,0
10161,1
10162,0
10163,1
10164,0
10165,1
10166,0
10167,1
10168,0
10169,0
10170,1
10171,0
10172,0
10173,0
10174,0
10175,1
10176,0
10177,0
10178,0
10179,0
10180,0
10181,0
10182,0
10183,0
10184,0
10185,1
10186,1
10187,0
10188,1
10189,0
10190,0
10191,0
10192,0
10193,1
10194,0
10195,0
10196,0
10197,1
10198,0
10199,0
10200,0
10201,1
10202,0
10203,1
10204,1
10205,0
10206,0
10207,0
10208,0
10209,0
10210,1
10211,1
10212,0
10213,0
10214,0
10215,0
10216,1
10217,0
10218,0
10219,0
10220,0
10221,0
10222,1
10223,0
10224,0
10225,1
10226,0
10227,0
10228,1
10229,0
10230,1
10231,0
10232,0
10233,0
10234,1
10235,0
10236,0
10237,0
10238,1
10239,1
10240,0
10241,0
10242,0
10243,1
10244,1
10245,1
10246,1
10247,0
10248,1
10249,0
10250,0
10251,0
10252,1
10253,0
10254,0
10255,0
10256,0
10257,0
10258,0
10259,1
10260,0
10261,0
10262,1
10263,0
10264,0
10265,0
10266,0
10267,1
10268,0
10269,0
10270,0
10271,0
10272,0
10273,0
10274,1
10275,0
10276,0
10277,0
10278,0
10279,0
10280,1
10281,0
10282,1
10283,0
10284,0
10285,0
10286,1
10287,1
10288,0
10289,0
10290,1
10291,0
10292,0
10293,0
10294,0
10295,0
10296,0
10297,1
10298,1
10299,0
10300,1
10301,1
10302,1
10303,0
10304,0
10305,1
10306,1
10307,1
10308,0
10309,0
10310,1
10311,0
10312,0
10313,0
10314,0
10315,0
10316,1
10317,0
10318,0
10319,0
10320,0
10321,0
10322,1
10323,0
10324,0
10325,0
10326,0
10327,0
10328,0
10329,0
10330,0
10331,0
10332,1
10333,0
10334,0
10335,0
10336,0
10337,0
10338,0
10339,0
10340,0
10341,0
10342,0
10343,0
10344,1
10345,0
10346,0
10347,0
10348,0
10349,1
10350,0
10351,0
10352,0
10353,1
10354,0
10355,1
10356,0
10357,1
10358,0
10359,0
10360,0
10361,0
10362,0
10363,0
10364,0
10365,0
10366,0
10367,0
10368,0
10369,0
10370,1
10371,0
10372,0
10373,1
10374,0
10375,0
10376,1
10377,0
10378,0
10379,0
10380,1
10381,0
10382,0
10383,1
10384,0
10385,0
10386,0
10387,0
10388,1
10389,0
10390,0
10391,0
10392,0
10393,0
10394,0
10395,0
10396,1
10397,1
10398,0
10399,1
10400,0
10401,0
10402,0
10403,1
10404,0
10405,1
10406,0
10407,1
10408,0
10409,0
10410,0
10411,1
10412,0
10413,1
10414,0
10415,0
10416,0
10417,0
10418,0
10419,0
10420,0
10421,1
10422,0
10423,0
10424,0
10425,0
10426,0
10427,0
10428,1
10429,0
10430,0
10431,0
10432,1
10433,1
10434,1
10435,0
10436,0
10437,1
10438,1
10439,0
10440,1
10441,0
10442,0
10443,0
10444,0
10445,0
10446,0
10447,0
10448,0
10449,0
10450,0
10451,0
10452,0
10453,0
10454,0
10455,0
10456,0
10457,1
10458,0
10459,0
10460,0
10461,0
10462,0
10463,1
10464,0
10465,0
10466,1
10467,0
10468,0
10469,0
10470,0
10471,0
10472,0
10473,0
10474,1
10475,0
10476,0
10477,0
10478,0
10479,1
10480,0
10481,0
10482,0
10483,0
10484,1
10485,1
10486,1
10487,0
10488,0
10489,0
10490,0
10491,1
10492,0
10493,1
10494,0
10495,0
10496,0
10497,0
10498,1
10499,0
10500,0
10501,0
10502,0
10503,0
10504,1
10505,0
10506,0
10507,0
10508,1
10509,0
10510,1
10511,0
10512,1
10513,0
10514,0
10515,0
10516,0
10517,1
10518,0
10519,0
10520,0
10521,0
10522,0
10523,0
10524,0
10525,0
10526,1
10527,0
10528,1
10529,1
10530,0
10531,0
10532,0
10533,0
10534,0
10535,1
10536,0
10537,1
10538,0
10539,0
10540,0
10541,0
10542,1
10543,0
10544,0
10545,0
10546,0
10547,0
10548,1
10549,0
10550,1
10551,1
10552,0
10553,1
10554,1
10555,0
10556,0
10557,0
10558,1
10559,1
10560,0
10561,1
10562,1
10563,0
10564,1
10565,0
10566,0
10567,0
10568,0
10569,0
10570,1
10571,0
10572,1
10573,0
10574,0
10575,0
10576,0
10577,0
10578,1
10579,0
10580,1
10581,1
10582,0
10583,0
10584,0
10585,0
10586,0
10587,0
10588,0
10589,1
10590,0
10591,0
10592,0
10593,0
10594,1
10595,1
10596,0
10597,0
10598,0
10599,0
10600,0
10601,0
10602,1
10603,0
10604,0
10605,0
10606,0
10607,0
10608,0
10609,1
10610,0
10611,0
10612,0
10613,0
10614,0
10615,1
10616,0
10617,0
10618,0
10619,0
10620,0
10621,0
10622,1
10623,1
10624,1
10625,0
10626,0
10627,0
10628,1
10629,0
10630,0
10631,0
10632,0
10633,1
10634,0
10635,1
10636,0
10637,0
10638,0
10639,0
10640,1
10641,1
10642,0
10643,0
10644,1
10645,0
10646,1
10647,0
10648,0
10649,1
10650,0
10651,0
10652,1
10653,0
10654,0
10655,0
10656,0
10657,0
10658,1
10659,0
10660,1
10661,1
10662,0
10663,1
10664,0
10665,0
